,OPTION,MEAL,MENU ITEM,INGREDIENTS,text
0,MEAT,Wednesday Tutorial Lunch,Greek Chicken Power Bowl,"Grilled Chicken, Mixed Greens, Cucumber, Tomato, Red Onion, Chickpeas, Feta, Quinoa, Greek Vinaigrette","MEAT, Wednesday Tutorial Lunch, Greek Chicken Power Bowl, Grilled Chicken, Mixed Greens, Cucumber, Tomato, Red Onion, Chickpeas, Feta, Quinoa, Greek Vinaigrette"
1,MEAT,Thursday Tutorial Lunch,Beef Stir Fry,"Beef, Stir Fried Vegetables, Rice w/Peas & Carrots, (GF) Teriyaki Sauce","MEAT, Thursday Tutorial Lunch, Beef Stir Fry, Beef, Stir Fried Vegetables, Rice w/Peas & Carrots, (GF) Teriyaki Sauce"
2,MEAT,Friday Conference Breakfast,Turkey Sausage & Egg Burrito,"Turkey Sausage, Egg, Cheese, Flour Tortilla Wrap","MEAT, Friday Conference Breakfast, Turkey Sausage & Egg Burrito, Turkey Sausage, Egg, Cheese, Flour Tortilla Wrap"
3,MEAT,Friday Conference Lunch,Grilled Chicken Pasta Bowl,"Grilled Chicken, Pasta, Broccoli, Alfredo Sauce","MEAT, Friday Conference Lunch, Grilled Chicken Pasta Bowl, Grilled Chicken, Pasta, Broccoli, Alfredo Sauce"
4,MEAT,Saturday Conference Breakfast,Bacon & Egg English Muffin,"Bacon, Egg, Cheese, English Muffin","MEAT, Saturday Conference Breakfast, Bacon & Egg English Muffin, Bacon, Egg, Cheese, English Muffin"
5,MEAT,Saturday Conference Lunch,California Turkey Wrap,"Turkey Breast, Applewood Bacon, Provolone Cheese, Red Onion, Wild Arugula, Chipotle Ranch, Spinach Wrap","MEAT, Saturday Conference Lunch, California Turkey Wrap, Turkey Breast, Applewood Bacon, Provolone Cheese, Red Onion, Wild Arugula, Chipotle Ranch, Spinach Wrap"
6,MEAT,Sunday Conference Breakfast,"Sausage, Egg, Potato, & Vegetable Hash","Pork Sausage, Egg, Potato, Sauteed Vegetable, Cheese","MEAT, Sunday Conference Breakfast, Sausage, Egg, Potato, & Vegetable Hash, Pork Sausage, Egg, Potato, Sauteed Vegetable, Cheese"
7,MEAT,Sunday Conference Lunch,Garlic Thyme Roasted Chicken,"Chicken, Garlic, Thyme Roasted Fingerling Potatoes Braised Carrots","MEAT, Sunday Conference Lunch, Garlic Thyme Roasted Chicken, Chicken, Garlic, Thyme Roasted Fingerling Potatoes Braised Carrots"
8,MEAT,Monday Sprints Lunch,Cheeseburger & Tots,"Hamburger Bun, Beef, Cheese Assortment, Lettuce, Tomato, Onion, Ketchup, Mayonnaise, Mustard","MEAT, Monday Sprints Lunch, Cheeseburger & Tots, Hamburger Bun, Beef, Cheese Assortment, Lettuce, Tomato, Onion, Ketchup, Mayonnaise, Mustard"
9,MEAT,Tuesday Sprints Lunch,Asian Noodle Bowl,"Sesame Chicken, Rice Noodles, Bean Sprouts, Carrots, Ginger, Cucumber, Asian Vinaigrette","MEAT, Tuesday Sprints Lunch, Asian Noodle Bowl, Sesame Chicken, Rice Noodles, Bean Sprouts, Carrots, Ginger, Cucumber, Asian Vinaigrette"
10,MEAT,Wednesday Sprints Lunch,Meatloaf Bowl,"Beef, Mashed Potato, Mixed Vegetables, Mushrooms","MEAT, Wednesday Sprints Lunch, Meatloaf Bowl, Beef, Mashed Potato, Mixed Vegetables, Mushrooms"
11,MEAT,Thursday Sprints Lunch,Chicken Fajita Bowl,"Chicken, Bell Peppers, Onions","MEAT, Thursday Sprints Lunch, Chicken Fajita Bowl, Chicken, Bell Peppers, Onions"
12,VEGETARIAN,Wednesday Tutorial Lunch,Mediterranean Spinach & Quinoa Salad,"Baby Spinach, Quinoa, White Beans, Raisins, Oranges, Feta Cheese, Orange Vinaigrette","VEGETARIAN, Wednesday Tutorial Lunch, Mediterranean Spinach & Quinoa Salad, Baby Spinach, Quinoa, White Beans, Raisins, Oranges, Feta Cheese, Orange Vinaigrette"
13,VEGETARIAN,Thursday Tutorial Lunch,Roasted Vegetable Stir Fry,"Beef, Stir Fried Vegetables, Rice w/Peas & Carrots, (GF) Teriyaki Sauce","VEGETARIAN, Thursday Tutorial Lunch, Roasted Vegetable Stir Fry, Beef, Stir Fried Vegetables, Rice w/Peas & Carrots, (GF) Teriyaki Sauce"
14,VEGETARIAN,Friday Conference Breakfast,Egg & Cheese Burrito,"Egg, Cheese, Flour Tortilla","VEGETARIAN, Friday Conference Breakfast, Egg & Cheese Burrito, Egg, Cheese, Flour Tortilla"
15,VEGETARIAN,Friday Conference Lunch,Crispy Chickpea & Roasted Vegetable Salad,"Vegetables, Chickpeas, Balsamic Vinaigrette","VEGETARIAN, Friday Conference Lunch, Crispy Chickpea & Roasted Vegetable Salad, Vegetables, Chickpeas, Balsamic Vinaigrette"
16,VEGETARIAN,Saturday Conference Breakfast,Egg & Cheese English Muffin,"Egg, Cheese, English Muffin","VEGETARIAN, Saturday Conference Breakfast, Egg & Cheese English Muffin, Egg, Cheese, English Muffin"
17,VEGETARIAN,Saturday Conference Lunch,"Crispy Tofu, Quinoa Salad","Tofu, Quinoa, Cucumbers, tomatoes, Watermelon Radish, Pickled Red Onion, Citrus Vinaigrette","VEGETARIAN, Saturday Conference Lunch, Crispy Tofu, Quinoa Salad, Tofu, Quinoa, Cucumbers, tomatoes, Watermelon Radish, Pickled Red Onion, Citrus Vinaigrette"
18,VEGETARIAN,Sunday Conference Breakfast,"Egg, Potato, & Vegetable Hash","Egg, Potato, Vegetables","VEGETARIAN, Sunday Conference Breakfast, Egg, Potato, & Vegetable Hash, Egg, Potato, Vegetables"
19,VEGETARIAN,Sunday Conference Lunch,Lemony Chickpea Quinoa Salad,"Chickpeas, Quinoa, Cucumber, Tomato, Kalamata Olives, Feta, Dill, Parsley, Lemon Vinaigrette","VEGETARIAN, Sunday Conference Lunch, Lemony Chickpea Quinoa Salad, Chickpeas, Quinoa, Cucumber, Tomato, Kalamata Olives, Feta, Dill, Parsley, Lemon Vinaigrette"
20,VEGETARIAN,Monday Sprints Lunch,Black Bean Burger,"Hamburger Bun, Black Bean Burger, Cheese Assortment, Lettuce, Tomatoe, Onion, Ketchup, Mayonnaise, Mustard","VEGETARIAN, Monday Sprints Lunch, Black Bean Burger, Hamburger Bun, Black Bean Burger, Cheese Assortment, Lettuce, Tomatoe, Onion, Ketchup, Mayonnaise, Mustard"
